Key,Id,Trial,Image,H1,H1Data,H2,H2Data,H3,H3Data
1,Qbru3Lp,13,0,A or C,5,A and C,5,A,0
2,Qbru3Lp,10,0,A,8,B,0,C,0
3,Qbru3Lp,14,0,A then B then C,5,A then C,0,A then B,5
4,Qbru3Lp,15,0,A then C,10,A then C then B,5,A then B,0
5,Qbru3Lp,20,0,(A or C) then B,5,A and C,0,(A and C) then B,5
6,Qbru3Lp,4,0,A then C,0,A and B,5,A then B,5
7,Qbru3Lp,9,0,C then A,0,C then B then A,5,C then B,5
8,Qbru3Lp,5,0,A and C,5,A then B,0,A then C,5
9,Qbru3Lp,7,0,B then C,5,C and B,5,B then A,0
10,Qbru3Lp,1,0,A,5,C,0,B,0
11,Qbru3Lp,2,0,C,0,B,7,A,0
12,Qbru3Lp,18,0,B and (A and C),5,(A and C) then B,5,A and C,5
13,Qbru3Lp,19,0,B and (A or C),5,B then (A or C),5,B then (A and C),5
14,Qbru3Lp,11,0,B,10,A,0,C,0
15,Qbru3Lp,8,0,C then A,8,C then A then B,5,C then B,0
16,Qbru3Lp,3,0,C,7,B,0,A,0
17,Qbru3Lp,17,0,A and (C or B),5,A and B,5,(A and B) then C,5
18,Qbru3Lp,12,0,A or B,7,A and B,7,A,0
19,Qbru3Lp,16,0,B then C,0,B then A then C,5,B then A,7
20,Qbru3Lp,6,0,B then A,7,B then A then C,5,B then C,0
21,TGqfTIV,19,0,B and (A or C),0,B then (A or C),10,B then (A and C),9
22,TGqfTIV,13,0,A,0,A and C,7,A or C,8
23,TGqfTIV,1,0,B,0,C,0,A,10
24,TGqfTIV,5,0,A then B,0,A then C,7,A and C,4
25,TGqfTIV,10,0,A,10,B,0,C,0
26,TGqfTIV,2,0,C,0,A,0,B,10
27,TGqfTIV,7,0,B then C,10,C and B,2,B then A,0
28,TGqfTIV,16,0,B then C,0,B then A then C,7,B then A,10
29,TGqfTIV,18,0,(A and C) then B,7,B and (A and C),7,A and C,7
30,TGqfTIV,8,0,C then A,10,C then A then B,2,C then B,0
31,TGqfTIV,9,0,C then B then A,6,C then A,4,C then B,10
32,TGqfTIV,15,0,A then B,5,A then C,7,A then C then B,8
33,TGqfTIV,17,0,A and (C or B),3,(A and B) then C,7,A and B,7
34,TGqfTIV,4,0,A then B,7,A and B,1,A then C,0
35,TGqfTIV,3,0,B,4,A,1,C,1
36,TGqfTIV,12,0,A,0,A and B,6,A or B,6
37,TGqfTIV,11,0,C,0,B,10,A,0
38,TGqfTIV,6,0,B then C,0,B then A then C,8,B then A,10
39,TGqfTIV,20,0,(A and C) then B,6,(A or C) then B,2,A and C,3
40,TGqfTIV,14,0,A then C,0,A then B,8,A then B then C,5
41,mmreeCy,8,0,C then A,7,C then B,4,C then A then B,1
42,mmreeCy,18,0,B and (A and C),7,(A and C) then B,3,A and C,4
43,mmreeCy,14,0,A then B then C,8,A then B,3,A then C,8
44,mmreeCy,11,0,A,7,B,6,C,9
45,mmreeCy,17,0,A and (C or B),5,(A and B) then C,8,A and B,10
46,mmreeCy,13,0,A,6,A or C,3,A and C,9
47,mmreeCy,12,0,A or B,3,A and B,2,A,10
48,mmreeCy,20,0,A and C,6,(A and C) then B,5,(A or C) then B,9
49,mmreeCy,2,0,B,6,C,4,A,7
50,mmreeCy,7,0,B then A,8,B then C,6,C and B,9
51,mmreeCy,3,0,C,9,A,3,B,7
52,mmreeCy,4,0,A then B,9,A and B,9,A then C,8
53,mmreeCy,9,0,C then B,4,C then B then A,1,C then A,5
54,mmreeCy,19,0,B then (A and C),6,B and (A or C),4,B then (A or C),9
55,mmreeCy,6,0,B then A,4,B then C,5,B then A then C,9
