Key,Id,Trial,Image,H1,H1Data,H2,H2Data,H3,H3Data
1,pdChicK,5,0,B then A then C,8,(A and B) then C,1,B then (A and C),5
2,pdChicK,14,0,A and (B then C),1,B then C then A,8,B then (A and C),5
3,pdChicK,9,0,B,8,C,0,A,0
4,pdChicK,15,0,C then A then B,8,B and (C then A),1,(A and C) then B,5
5,pdChicK,12,0,C then A,8,C then A then B,5,C then B,0
6,pdChicK,6,0,B then C then A,5,B then (A and C),5,B and (C then A),5
7,pdChicK,4,0,C then A,8,C then A then B,5,C then B,0
8,pdChicK,16,0,(B and C) then A,5,C and (B then A),3,C then B then A,8
9,pdChicK,2,0,A,0,C,0,B,8
10,pdChicK,1,0,B,9,A,0,C,0
11,pdChicK,3,0,B then C,9,B then A,0,B then C then A,5
12,pdChicK,13,0,B then A then C,9,(A and B) then C,2,B then (A and C),7
13,pdChicK,7,0,C then A then B,8,B and (C then A),0,(A and C) then B,0
14,pdChicK,11,0,B then C then A,5,B then A,0,B then C,8
15,pdChicK,10,0,A,0,C,0,B,10
16,pdChicK,8,0,(B and C) then A,5,C then B then A,8,C and (B then A),0
17,8Bi8S0P,12,0,C then A then B,5,C then B,0,C then A,10
18,8Bi8S0P,3,0,B then A,0,B then C then A,5,B then C,10
19,8Bi8S0P,6,0,B then C then A,10,B then (A and C),5,B and (C then A),1
20,8Bi8S0P,2,0,A,0,B,5,C,5
21,8Bi8S0P,13,0,(A and B) then C,0,B then (A and C),5,B then A then C,9
22,8Bi8S0P,10,0,C,0,B,10,A,0
23,8Bi8S0P,8,0,C then B then A,10,(B and C) then A,5,C and (B then A),0
24,8Bi8S0P,9,0,B,10,C,0,A,0
25,8Bi8S0P,11,0,B then C then A,5,B then A,0,B then C,10
26,8Bi8S0P,4,0,C then B,3,C then A then B,5,C then A,5
27,8Bi8S0P,14,0,B then (A and C),5,B then C then A,10,A and (B then C),0
28,8Bi8S0P,5,0,B then (A and C),5,(A and B) then C,5,B then A then C,5
29,8Bi8S0P,15,0,C then A then B,8,(A and C) then B,5,B and (C then A),0
30,8Bi8S0P,7,0,B and (C then A),0,(A and C) then B,0,C then A then B,10
31,8Bi8S0P,1,0,A,0,C,0,B,10
32,8Bi8S0P,16,0,C and (B then A),5,(B and C) then A,0,C then B then A,8
33,xAMS8ZK,5,0,(A and B) then C,0,B then (A and C),3,B then A then C,8
34,xAMS8ZK,6,0,B and (C then A),1,B then (A and C),5,B then C then A,8
35,xAMS8ZK,7,0,(A and C) then B,1,C then A then B,9,B and (C then A),0
36,xAMS8ZK,3,0,B then A,1,B then C,8,B then C then A,1
37,xAMS8ZK,13,0,B then A then C,9,B then (A and C),1,(A and B) then C,1
38,xAMS8ZK,14,0,A and (B then C),1,B then (A and C),1,B then C then A,9
39,xAMS8ZK,15,0,B and (C then A),0,(A and C) then B,1,C then A then B,9
40,xAMS8ZK,16,0,C then B then A,7,(B and C) then A,1,C and (B then A),1
41,xAMS8ZK,11,0,B then C,9,B then C then A,5,B then A,0
42,xAMS8ZK,2,0,A,5,C,5,B,5
43,xAMS8ZK,10,0,C,5,B,5,A,5
44,xAMS8ZK,12,0,C then A,6,C then A then B,4,C then B,4
45,xAMS8ZK,1,0,C,1,B,5,A,1
46,xAMS8ZK,9,0,A,0,B,5,C,0
47,xAMS8ZK,8,0,C then B then A,9,C and (B then A),1,(B and C) then A,1
48,xAMS8ZK,4,0,C then B,4,C then A then B,5,C then A,7
49,uP5qH9F,15,0,(A and C) then B,8,B and (C then A),1,C then A then B,9
50,uP5qH9F,12,0,C then A,5,C then B,1,C then A then B,2
51,uP5qH9F,13,0,B then (A and C),2,(A and B) then C,2,B then A then C,9
52,uP5qH9F,2,0,C,5,A,0,B,7
53,uP5qH9F,14,0,B then C then A,8,A and (B then C),0,B then (A and C),5
54,uP5qH9F,4,0,C then A,10,C then A then B,5,C then B,0
55,uP5qH9F,16,0,C and (B then A),0,(B and C) then A,3,C then B then A,9
56,uP5qH9F,5,0,B then A then C,9,B then (A and C),7,(A and B) then C,1
57,uP5qH9F,11,0,B then C,9,B then A,1,B then C then A,6
58,uP5qH9F,9,0,A,0,B,8,C,0
59,uP5qH9F,10,0,A,0,B,8,C,0
60,uP5qH9F,3,0,B then C,9,B then C then A,5,B then A,0
61,uP5qH9F,1,0,B,8,A,0,C,0
62,uP5qH9F,6,0,B then C then A,8,B and (C then A),2,B then (A and C),5
63,uP5qH9F,7,0,(A and C) then B,0,B and (C then A),0,C then A then B,10
64,uP5qH9F,8,0,C and (B then A),5,C then B then A,8,(B and C) then A,2
65,il4AYQm,1,0,C,0,A,0,B,10
66,il4AYQm,5,0,B then A then C,10,(A and B) then C,0,B then (A and C),0
67,il4AYQm,7,0,B and (C then A),0,(A and C) then B,5,C then A then B,10
68,il4AYQm,6,0,B then C then A,5,B then (A and C),10,B and (C then A),0
69,il4AYQm,2,0,B,10,C,0,A,0
70,il4AYQm,16,0,C and (B then A),5,(B and C) then A,5,C then B then A,10
71,il4AYQm,12,0,C then A,10,C then A then B,5,C then B,0
72,il4AYQm,3,0,B then C,10,B then A,0,B then C then A,5
73,il4AYQm,4,0,C then B,0,C then A,10,C then A then B,5
74,il4AYQm,10,0,C,0,A,0,B,10
75,il4AYQm,9,0,B,10,A,0,C,0
76,il4AYQm,11,0,B then A,0,B then C then A,5,B then C,10
77,il4AYQm,8,0,C and (B then A),5,C then B then A,10,(B and C) then A,5
78,il4AYQm,15,0,B and (C then A),5,(A and C) then B,5,C then A then B,10
