Trial,Model,Rank,Hypothesis,Hyp,Result
13,Full Model,1,A,'A',0.3032653299
13,Full Model,2,A or B,"Or('A','B')",0.0671858532
13,Full Model,3,A or (B and C),"Or('A',And('B','C'))",0.0362428767
14,Alternate Model,1,A then B,"Then('A','B')",3.95019166423906E-13
14,Alternate Model,2,A and B,"And('A','B')",9.87547916059766E-14
14,Alternate Model,3,A then (B or C),"Then('A',Or('B','C'))",3.63298575490089E-14
14,Full Model,1,A then B,"Then('A','B')",0.1115650801
14,Full Model,2,A and B,"And('A','B')",0.0671858532
14,Full Model,3,A then (B or C),"Then('A',Or('B','C'))",0.0247162941
15,Alternate Model,1,B then A,"Then('B','A')",3.95019166423906E-13
15,Alternate Model,2,A and B,"And('A','B')",9.87547916059766E-14
15,Alternate Model,3,(B or C) then A,"Then(Or('B','C'),'A')",3.63298575490089E-14
15,Full Model,1,B then A,"Then('B','A')",0.1115650801
15,Full Model,2,A and B,"And('A','B')",0.0055967235
15,Full Model,3,(B or C) then A,"Then(Or('B','C'),'A')",0.0102606248
16,Alternate Model,1,A then C,"Then('A','C')",3.95019166423906E-13
16,Alternate Model,2,A and C,"And('A','C')",9.87547916059766E-14
16,Alternate Model,3,(A or B) then C,"Then(Or('A','B'),'C')",3.63298575490089E-14
16,Full Model,1,A then C,"Then('A','C')",0.1115650801
16,Full Model,2,A and C,"And('A','C')",0.02789127
16,Full Model,3,(A or B) then C,"Then(Or('A','B'),'C')",0.0102606248
17,Alternate Model,1,(A then C) or (B then A),"Or(Then('A','C'),Then('B','A'))",1.33650076929675E-14
17,Alternate Model,2,(A and C) or (B then A),"Or(And('A','C'),Then('B','A'))",5.94000341909667E-15
17,Alternate Model,3,A and (B or C),"And('A',Or('B','C'))",9.08246438725223E-15
17,Full Model,1,(A then C) or (B then A),"Or(Then('A','C'),Then('B','A'))",0.0037746729
17,Full Model,2,(A and C) or (B then A),"Or(And('A','C'),Then('B','A'))",0.0016776324
17,Full Model,3,A and (B or C),"And('A',Or('B','C'))",0.0009820424
18,Alternate Model,1,B then (A or C),"Then('B',Or('A','C'))",3.63298575490089E-14
18,Alternate Model,2,B and (A or C),"And('B',Or('A','C'))",9.08246438725223E-15
18,Alternate Model,3,(A and B) or (B then C),"Or(And('A','B'),Then('B','C'))",5.94000341909667E-15
18,Full Model,1,B then (A or C),"Then('B',Or('A','C'))",0.0102606248
18,Full Model,2,B and (A or C),"And('B',Or('A','C'))",0.0005147299
18,Full Model,3,(A and B) or (B then C),"Or(And('A','B'),Then('B','C'))",0.0005055902
19,Alternate Model,1,(A or B) then C,"Then(Or('A','B'),'C')",3.63298575490089E-14
19,Alternate Model,2,C and (A or B),"And('C',Or('A','B'))",9.08246438725223E-15
19,Alternate Model,3,(A and C) or (B then C),"Or(And('A','C'),Then('B','C'))",5.94000341909667E-15
19,Full Model,1,(A or B) then C,"Then(Or('A','B'),'C')",0.0102606248
19,Full Model,2,C and (A or B),"And('C',Or('A','B'))",0.0009820424
19,Full Model,3,(A and C) or (B then C),"Or(And('A','C'),Then('B','C'))",0.0016776324
